id,satisfaction_v2,Class,Seat comfort,Food and drink,Inflight wifi service,Inflight entertainment,On-board service
24846,satisfied,Eco,0,1,5,1,4
99583,satisfied,Eco,0,1,3,4,4
118703,satisfied,Eco,0,1,4,1,4
74876,satisfied,Eco,0,1,5,5,3
55754,satisfied,Eco,0,1,5,1,3
101822,satisfied,Eco,0,1,2,1,4
126743,satisfied,Eco,0,1,1,1,5
34218,satisfied,Eco,0,1,3,1,5
35877,satisfied,Eco,0,1,1,1,3
95625,satisfied,Eco,0,1,5,1,3
103578,satisfied,Eco,0,1,5,5,3
47579,satisfied,Business,0,1,3,3,4
98883,satisfied,Eco,0,1,4,1,5
123730,neutral or dissatisfied,Eco Plus,1,0,5,0,5
7927,satisfied,Eco Plus,0,0,2,4,3
39315,satisfied,Eco,0,0,2,0,3
33060,satisfied,Eco,0,0,3,4,1
32873,neutral or dissatisfied,Eco,1,0,1,0,2
7261,satisfied,Eco,0,0,4,3,2
66458,satisfied,Eco,0,0,2,5,5
29514,satisfied,Eco Plus,0,0,3,3,3
87865,neutral or dissatisfied,Eco,1,0,1,0,4
46711,neutral or dissatisfied,Eco,1,0,5,0,5
41931,neutral or dissatisfied,Eco,1,0,4,0,3
31894,satisfied,Eco,0,0,2,0,3
126758,neutral or dissatisfied,Eco,1,1,2,1,3
17840,satisfied,Eco Plus,0,0,5,2,5
97176,satisfied,Eco,0,0,1,2,1
79356,neutral or dissatisfied,Eco,1,1,4,1,4
117455,neutral or dissatisfied,Eco,1,1,1,1,5
24716,neutral or dissatisfied,Eco,1,1,4,1,3
13468,neutral or dissatisfied,Eco,1,1,4,1,5
82494,satisfied,Eco,0,0,0,1,1
106412,satisfied,Eco,0,0,3,0,2
80878,satisfied,Eco,0,0,2,0,2
45975,satisfied,Business,0,0,2,0,2
3711,neutral or dissatisfied,Eco,1,1,4,1,4
14109,neutral or dissatisfied,Eco,1,1,5,1,5
43228,satisfied,Eco Plus,0,0,4,0,1
70767,neutral or dissatisfied,Business,1,1,4,4,3
5826,satisfied,Eco,0,0,4,0,4
88663,neutral or dissatisfied,Eco,1,1,1,1,4
33761,satisfied,Eco,0,0,3,0,2
33016,satisfied,Eco,0,0,4,3,2
45829,satisfied,Eco,0,0,2,0,4
87833,satisfied,Eco,0,0,2,0,2
41152,satisfied,Eco,0,0,3,0,2
7289,satisfied,Eco,0,0,2,0,3
51169,satisfied,Eco,0,0,3,0,1
122126,neutral or dissatisfied,Eco Plus,1,1,5,1,3
39454,neutral or dissatisfied,Eco,1,1,1,1,4
83338,satisfied,Eco Plus,0,0,5,4,3
92378,satisfied,Business,0,0,4,0,2
83219,satisfied,Business,0,0,1,0,3
118245,neutral or dissatisfied,Business,1,1,3,1,4
83885,neutral or dissatisfied,Eco,1,1,1,1,3
97205,satisfied,Eco,0,0,5,0,3
69452,satisfied,Eco,0,0,4,3,3
73021,satisfied,Eco,0,0,4,3,5
37918,satisfied,Eco,0,0,5,0,4
110175,satisfied,Eco,0,1,2,1,3
98446,neutral or dissatisfied,Eco,1,1,5,1,4
85292,neutral or dissatisfied,Eco,1,1,4,1,2
25391,neutral or dissatisfied,Eco Plus,1,1,3,1,4
30123,satisfied,Eco,0,1,2,1,3
16680,neutral or dissatisfied,Eco,1,1,1,1,3
4054,satisfied,Eco,0,0,5,0,3
98125,neutral or dissatisfied,Eco,1,1,2,1,4
11784,neutral or dissatisfied,Eco,1,1,2,1,4
66556,neutral or dissatisfied,Eco,1,1,4,1,4
42857,satisfied,Eco,0,0,2,0,2
104886,satisfied,Eco,0,0,2,0,1
103173,neutral or dissatisfied,Eco,1,1,4,1,5
45837,satisfied,Eco,0,0,2,0,4
11205,satisfied,Eco,0,0,0,3,2
1219,neutral or dissatisfied,Eco,1,1,1,5,2
7255,neutral or dissatisfied,Eco,1,1,1,1,4
122110,satisfied,Eco,0,0,5,2,3
41934,neutral or dissatisfied,Eco,1,1,1,1,3
50650,neutral or dissatisfied,Eco,1,1,5,1,3
125469,satisfied,Eco,0,0,3,3,4
62056,satisfied,Eco,0,0,1,0,1
59403,neutral or dissatisfied,Eco,1,1,1,1,4
73972,satisfied,Eco,0,0,3,3,4
83334,satisfied,Eco,0,0,3,0,2
86724,neutral or dissatisfied,Eco,1,1,5,1,5
80600,neutral or dissatisfied,Eco Plus,1,1,4,1,1
129512,neutral or dissatisfied,Eco,1,1,1,1,2
64219,satisfied,Business,0,0,1,2,3
64217,satisfied,Business,0,0,4,5,2
66463,neutral or dissatisfied,Eco,1,1,2,1,4
70629,satisfied,Eco,0,0,5,0,3
64390,neutral or dissatisfied,Eco,1,1,4,1,3
38155,neutral or dissatisfied,Eco,1,1,4,1,4
73014,neutral or dissatisfied,Eco,1,1,4,1,5
80065,neutral or dissatisfied,Eco,1,1,5,1,5
14645,satisfied,Eco,0,0,3,4,1
13786,satisfied,Eco,0,0,3,0,3
25596,satisfied,Eco,0,0,4,0,2
24665,neutral or dissatisfied,Eco,1,1,4,1,3
109566,satisfied,Eco,0,0,5,0,2
119534,neutral or dissatisfied,Eco,1,1,1,1,4
37023,neutral or dissatisfied,Eco Plus,1,1,1,4,5
85324,satisfied,Eco,0,0,5,2,1
108621,neutral or dissatisfied,Eco,1,1,1,1,1
20985,satisfied,Eco,0,0,1,3,2
14143,neutral or dissatisfied,Eco,1,1,2,1,3
55554,neutral or dissatisfied,Eco,1,1,4,1,1
24498,satisfied,Eco,0,0,1,0,2
113105,satisfied,Eco,0,0,5,0,4
86866,neutral or dissatisfied,Eco,1,1,3,1,5
10244,neutral or dissatisfied,Business,1,1,4,5,2
107627,neutral or dissatisfied,Eco,1,1,1,4,2
116081,satisfied,Eco,0,0,1,2,3
63366,satisfied,Eco,0,0,3,0,1
117831,neutral or dissatisfied,Eco,1,1,5,1,3
120032,satisfied,Eco Plus,0,0,3,3,5
95363,neutral or dissatisfied,Eco,1,1,4,1,1
90401,neutral or dissatisfied,Business,1,1,5,4,5
50597,neutral or dissatisfied,Eco,1,1,1,1,5
45845,satisfied,Eco,0,0,2,2,4
32004,satisfied,Business,0,0,5,3,4
87883,neutral or dissatisfied,Eco Plus,1,1,1,4,4
119336,neutral or dissatisfied,Eco,1,1,4,1,4
3410,neutral or dissatisfied,Eco,1,1,2,1,4
9098,neutral or dissatisfied,Eco Plus,1,1,4,1,5
9711,neutral or dissatisfied,Eco,1,1,1,1,1
20478,neutral or dissatisfied,Business,1,1,4,4,3
20509,satisfied,Eco,0,0,5,4,4
1114,satisfied,Eco,0,0,4,0,3
24285,neutral or dissatisfied,Eco,1,1,5,1,4
31896,neutral or dissatisfied,Eco,1,1,4,1,2
128794,satisfied,Business,0,0,3,0,2
62790,neutral or dissatisfied,Eco,1,1,2,1,4
52806,neutral or dissatisfied,Business,1,1,2,5,2
59132,neutral or dissatisfied,Eco,1,1,2,1,2
86725,satisfied,Eco,0,0,5,0,2
86733,neutral or dissatisfied,Eco,1,1,5,1,4
54269,neutral or dissatisfied,Eco,1,1,2,1,2
93991,satisfied,Eco,0,0,4,0,2
73029,neutral or dissatisfied,Eco,1,1,2,1,5
5859,neutral or dissatisfied,Eco,1,1,5,1,3
5868,satisfied,Eco Plus,0,0,2,0,3
79994,neutral or dissatisfied,Eco,1,1,5,1,4
111602,satisfied,Eco Plus,0,0,2,3,2
85287,neutral or dissatisfied,Eco,1,1,4,1,3
24664,neutral or dissatisfied,Eco,1,1,4,1,1
42328,satisfied,Eco,0,0,3,2,5
119575,neutral or dissatisfied,Eco Plus,1,1,1,1,4
77797,satisfied,Eco,0,0,1,0,2
52488,satisfied,Eco Plus,0,0,5,5,5
63492,neutral or dissatisfied,Eco,1,1,4,1,5
23870,satisfied,Eco,0,0,5,3,4
66259,neutral or dissatisfied,Eco,1,1,2,1,3
84933,neutral or dissatisfied,Eco,1,1,4,1,3
80868,neutral or dissatisfied,Eco,1,1,5,1,4
86860,neutral or dissatisfied,Eco,1,1,4,1,5
24068,satisfied,Eco Plus,0,0,2,3,4
13138,satisfied,Eco,0,0,5,0,3
51723,satisfied,Eco,0,0,4,1,4
107061,satisfied,Eco,0,0,2,0,4
116170,satisfied,Eco,0,0,5,0,1
126315,neutral or dissatisfied,Eco,1,1,4,1,5
100743,neutral or dissatisfied,Eco,1,1,4,1,5
91138,satisfied,Eco,0,0,5,4,5
33259,satisfied,Eco Plus,0,0,3,1,1
123707,satisfied,Eco,0,0,3,0,4
78084,neutral or dissatisfied,Eco Plus,1,1,2,1,1
123624,satisfied,Business,0,0,5,0,4
7264,satisfied,Eco,0,0,3,0,5
89452,satisfied,Eco,0,0,2,0,2
75236,neutral or dissatisfied,Eco,1,1,3,1,4
127575,neutral or dissatisfied,Eco,1,1,4,1,3
121364,neutral or dissatisfied,Eco,1,1,5,1,3
63944,satisfied,Eco,0,1,1,1,1
69494,satisfied,Eco Plus,0,0,0,4,5
72629,neutral or dissatisfied,Eco,1,1,1,1,3
70141,satisfied,Eco,0,0,3,5,1
102877,satisfied,Eco,0,0,3,4,1
34646,satisfied,Eco,0,0,5,0,4
83843,neutral or dissatisfied,Eco,1,1,1,1,3
102469,satisfied,Eco,0,0,5,5,4
63397,neutral or dissatisfied,Eco,1,1,1,1,1
39882,neutral or dissatisfied,Eco,1,1,2,1,5
10252,neutral or dissatisfied,Business,1,1,4,1,5
11260,satisfied,Eco,0,0,3,4,2
40603,satisfied,Eco,0,0,3,0,5
78046,neutral or dissatisfied,Eco,1,1,3,1,5
77924,neutral or dissatisfied,Business,1,1,1,5,2
98198,neutral or dissatisfied,Eco,1,2,3,2,3
108461,satisfied,Eco,0,0,2,0,5
